record_type,perm_id,n_boot,seed,runtime_sec,converged,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,1000,42,414.01300000000003,NA,NA,NA,NA,NA,NA
permutation,101,NA,NA,NA,TRUE,0.0070518313595482555,0.0070518313595482555,0.01003360629318071,0.050155973771667695,0.032781488534519676
permutation,102,NA,NA,NA,TRUE,0.017903291913627665,0.017903291913627665,0.025298773387422292,0.016721280691199734,0.018059612082753616
permutation,103,NA,NA,NA,TRUE,0.004766303586508846,0.004766303586508846,0.004171571254569986,0.010962684319328245,0.016209910816295907
permutation,104,NA,NA,NA,TRUE,0.02478700732537224,0.02478700732537224,-2.0202192534209823e-4,-0.019416307042969063,0.0013566463091495458
permutation,105,NA,NA,NA,TRUE,0.032692997942343115,0.032692997942343115,0.015585663376226608,-0.007710008275028726,-0.0084211293538701
permutation,106,NA,NA,NA,TRUE,-0.0047226609905146695,-0.0047226609905146695,0.010289156278910135,0.002622302575244779,0.023247954333754244
permutation,107,NA,NA,NA,TRUE,-0.00840776473891709,-0.00840776473891709,0.014014857310333048,-0.004684966417068205,-0.003730004515602561
permutation,108,NA,NA,NA,TRUE,0.009940433689710265,0.009940433689710265,0.015385635245265287,0.007973569695901522,0.011785739349624085
permutation,109,NA,NA,NA,TRUE,0.011395191796849969,0.011395191796849969,-0.006689512655863714,0.0024076659647109463,0.010817435403939098
permutation,110,NA,NA,NA,TRUE,0.0010386866025871543,0.0010386866025871543,-0.005714396974148334,-0.02615557795702786,-0.016117159736939862
permutation,111,NA,NA,NA,TRUE,-0.02198911005555992,-0.02198911005555992,-0.01479686865883319,-0.019547429687167932,-0.014033689868053267
permutation,112,NA,NA,NA,TRUE,-0.017394969270950574,-0.017394969270950574,0.005294699775691639,0.04552179916572906,0.025726518807410444
permutation,113,NA,NA,NA,TRUE,0.005601711632023362,0.005601711632023362,-0.0010581244026210803,0.017585571218792846,-0.0012947059602510238
permutation,114,NA,NA,NA,TRUE,-0.00822551422008456,-0.00822551422008456,0.004154505240724372,0.005930551526687358,0.008556566959961933
permutation,115,NA,NA,NA,TRUE,-0.015733416245481774,-0.015733416245481774,-0.004749613487659159,-0.015502003781985912,-0.01986746304063856
permutation,116,NA,NA,NA,TRUE,0.009270035936554651,0.009270035936554651,0.005129832903266738,-0.0032119308307795736,-0.008359970764441551
permutation,117,NA,NA,NA,TRUE,0.018210661551385402,0.018210661551385402,-0.01645364131927911,-0.01878611442248455,-0.028375710850996206
permutation,118,NA,NA,NA,TRUE,0.021321330300977978,0.021321330300977978,0.013078301579032767,-1.2562493130179736e-5,0.020161769821857533
permutation,119,NA,NA,NA,TRUE,-0.01572329980012402,-0.01572329980012402,-0.017639206111273308,0.0015485717367656887,-2.966424341755373e-4
permutation,120,NA,NA,NA,TRUE,-0.018168867261735222,-0.018168867261735222,0.005179406730398788,0.012946427765957488,0.003282984842052493
permutation,121,NA,NA,NA,TRUE,-0.021443252989235728,-0.021443252989235728,-0.0062608806792120095,0.012729352674892707,0.013231952070373833
permutation,122,NA,NA,NA,TRUE,-0.01027945798341327,-0.01027945798341327,-0.007504961777049341,0.010083789706925663,0.02477423515467277
permutation,123,NA,NA,NA,TRUE,0.00784803405981117,0.00784803405981117,0.0017590000090154864,0.0010126801445102303,-0.0068172086168381794
