"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"34F3",3.50000000029982,52.7500000003498,-29.4879166666667,29.4879166666667,18,44,26,170.188253091392,260.188253091392,0.00140571270105113,-25,100,28800,28800,28800,2.75000000034981,FALSE,FALSE
"34F4",4.50000000009999,52.7500000003498,-13.505625,13.505625,-51,43,94,126.288427754487,216.288427754487,0.00133735661901255,-18,86.6179830652749,28800,22321,19334,2.75000000034981,FALSE,FALSE
"35F0",0.500000000000057,53.2500000002499,-5.48666666666667,5.48666666666667,-121,88,209,233.825413391086,323.825413391086,0.00237406402693559,-13,95.5243093375582,28800,20198,19294,3.25000000024988,FALSE,FALSE
"35F1",1.4999999998002,53.2500000002499,-23.3913541666667,23.3913541666667,3,63,60,236.235948479974,326.235948479974,0.000720377844239858,-26,100,28800,28800,28800,3.25000000024988,FALSE,FALSE
"35F2",2.50000000004999,53.2500000002499,-29.2753472222222,29.2753472222222,5,47,42,0,90,0.00060055105482174,-29,100,28800,28800,28800,3.25000000024988,FALSE,FALSE
"35F3",3.50000000029982,53.2500000002499,-27.3587847222222,27.3587847222222,23,38,15,0,90,0,-25,100,28800,28800,28800,3.25000000024988,FALSE,FALSE
"35F4",4.50000000009999,53.2500000002499,-21.9351388888889,21.9351388888889,-19,34,53,0,90,0,-27,99.8221313957009,28800,26424,26377,3.25000000024988,FALSE,FALSE
"36F0",0.500000000000057,53.75000000015,-27.0859722222222,27.0859722222222,-23,96,119,71.3128043798189,161.312804379819,0.00126440527151693,-29,98.1329673901268,28800,27691,27174,3.75000000014995,FALSE,FALSE
"36F1",1.4999999998002,53.75000000015,-28.4663541666667,28.4663541666667,6,87,81,235.923043081021,325.923043081021,0.000723028400425233,-28,100,28800,28800,28800,3.75000000014995,FALSE,FALSE
"36F2",2.50000000004999,53.75000000015,-32.8871180555556,32.8871180555556,13,72,59,49.7827857166616,139.782785716662,0.000313710054462426,-28,99.9652777777778,28800,28800,28790,3.75000000014995,FALSE,FALSE
