phase_v2,FP_between,smooth_fit,smooth_se,smooth_lo,smooth_hi,linear_fit,linear_se,linear_lo,linear_hi,centered_at_FP_between
1985-1991,10.763441914665508,-0.0430538063184973,0.027815829403717785,-0.09757283194978415,0.011465219312789557,-0.044522757790904144,0.16688596885652782,-0.37161925674969865,0.28257374116789036,8.966104274930782
1985-1991,10.802581621532624,-0.04398884613123843,0.028429378704412252,-0.09971042839188644,0.011732736129409588,-0.04549064382983686,0.1674928256550375,-0.3737765821137104,0.28279529445403667,8.966104274930782
1985-1991,10.84172132839974,-0.044923882895954816,0.029042996471588416,-0.10184815598026811,0.012000390188358481,-0.04645852986876953,0.16809968245354723,-0.3759339074777221,0.28301684774018304,8.966104274930782
1985-1991,10.880861035266856,-0.045858918136658884,0.02965667752559372,-0.10398600608682257,0.012268169813504808,-0.047426415907702246,0.16870653925205695,-0.37809123284173385,0.28323840102632936,8.966104274930782
1992-2001,6.223235918080052,-0.04315274311450851,0.03934374157845553,-0.12026647660828134,0.033960990379264325,-0.03882962385760533,0.12260834457943065,-0.27914197923328943,0.20148273151807874,8.966104274930782
1992-2001,6.262375624947168,-0.04253560838621537,0.038782865244412316,-0.11855002426526351,0.033478807492832774,-0.038274914945353816,0.12337946345222792,-0.2800986633117205,0.2035488334210129,8.966104274930782
1992-2001,6.301515331814284,-0.041918473711615535,0.038222064421448695,-0.11683371997765499,0.03299677255442391,-0.037720206033102305,0.12415058232502517,-0.28105534739015164,0.20561493532394703,8.966104274930782
1992-2001,6.3406550386814,-0.04130133916343411,0.037661343751440327,-0.11511757291625715,0.03251489458938892,-0.03716549712085082,0.12492170119782241,-0.2820120314685827,0.20768103722688108,8.966104274930782
1992-2001,6.379794745548516,-0.04068420484121397,0.037100708046087456,-0.1134015926115454,0.03203318292911745,-0.03661078820859931,0.12569282007061966,-0.28296871554701386,0.2097471391298152,8.966104274930782
1992-2001,6.418934452415632,-0.04006707091430169,0.0365401625696825,-0.11168578955087938,0.031551647722276,-0.03605607929634777,0.1264639389434169,-0.2839253996254449,0.21181324103274934,8.966104274930782
1992-2001,6.458074159282748,-0.03944993757958622,0.03597971249849002,-0.10997017407662665,0.03107029891745422,-0.03550137038409629,0.12723505781621416,-0.284882083703876,0.21387934293568348,8.966104274930782
1992-2001,6.497213866149864,-0.03883280503462303,0.035419362643427696,-0.10825475581574132,0.030589145746495246,-0.034946661471844775,0.12800617668901143,-0.28583876778230716,0.2159454448386176,8.966104274930782
1992-2001,6.53635357301698,-0.038215673504336356,0.03485911753050811,-0.10653954386413225,0.03010819685545954,-0.03439195255959329,0.12877729556180867,-0.2867954518607383,0.21801154674155168,8.966104274930782
1992-2001,6.575493279884096,-0.03759854326938085,0.03429898145602734,-0.10482454692319443,0.02962746038443273,-0.03383724364734175,0.12954841443460594,-0.2877521359391694,0.22007764864448587,8.966104274930782
1992-2001,6.614632986751212,-0.03698141461718921,0.03373895824965839,-0.10310977278651966,0.029146943552141244,-0.03328253473509027,0.13031953330740317,-0.28870882001760045,0.22214375054741994,8.966104274930782
1992-2001,6.653772693618328,-0.03636428783519403,0.03317905123231682,-0.10139522825053499,0.028666652580146938,-0.03272782582283876,0.13109065218020044,-0.28966550409603165,0.2242098524503541,8.966104274930782
1992-2001,6.692912400485444,-0.035747163210827985,0.03261926320512214,-0.09968091909286736,0.028186592671211395,-0.032173116910587274,0.13186177105299768,-0.2906221881744627,0.22627595435328818,8.966104274930782
1992-2001,6.73205210735256,-0.035130041031523715,0.03205959644164996,-0.09796685005715763,0.027706767994110204,-0.031618407998335735,0.13263288992579492,-0.2915788722528938,0.2283420562562223,8.966104274930782
1992-2001,6.771191814219676,-0.034512921584713876,0.03150005268388673,-0.09625302484513187,0.02722718167570412,-0.03106369908608425,0.13340400879859218,-0.29253555633132494,0.23040815815915644,8.966104274930782
1992-2001,6.810331521086792,-0.033895805180762115,0.03094063316643859,-0.09453944618698175,0.02674783582545752,-0.03050899017383274,0.13417512767138945,-0.2934922404097561,0.2324742600620906,8.966104274930782
1992-2001,6.849471227953908,-0.03327869228395452,0.030381338752470958,-0.09282611623879759,0.026268731670888557,-0.029954281261581256,0.1349462465441867,-0.29444892448818716,0.23454036196502467,8.966104274930782
