stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change
50F5,decade2_minus_decade1,1985-1994,1995-2004,114,49,-65,-57.01754385964912
51E6,decade2_minus_decade1,1985-1994,1995-2004,27.833333333333336,87.875,60.041666666666664,215.71856287425146
51E7,decade2_minus_decade1,1985-1994,1995-2004,760.9,930.3,169.39999999999998,22.263109475620972
51E8,decade2_minus_decade1,1985-1994,1995-2004,8452,12075.2,3623.2000000000007,42.867960246095606
51E9,decade2_minus_decade1,1985-1994,1995-2004,13545.5,8035.9,-5509.6,-40.67476283636632
51F0,decade2_minus_decade1,1985-1994,1995-2004,8983.2,3917.5,-5065.700000000001,-56.39081841659988
51F1,decade2_minus_decade1,1985-1994,1995-2004,6903,7196.4,293.39999999999964,4.250325945241194
51F2,decade2_minus_decade1,1985-1994,1995-2004,10510.2,13399.5,2889.2999999999993,27.49043786036421
51F3,decade2_minus_decade1,1985-1994,1995-2004,880.7,306,-574.7,-65.25491086635631
51F4,decade2_minus_decade1,1985-1994,1995-2004,53.9,40.5,-13.399999999999999,-24.860853432282
52E6,decade2_minus_decade1,1985-1994,1995-2004,57.75,190.66666666666669,132.91666666666669,230.15873015873018
52E7,decade2_minus_decade1,1985-1994,1995-2004,90.5,69.4,-21.099999999999994,-23.31491712707182
52E8,decade2_minus_decade1,1985-1994,1995-2004,1192.6,998.3,-194.29999999999995,-16.29213483146067
52E9,decade2_minus_decade1,1985-1994,1995-2004,8485.8,5088.9,-3396.8999999999996,-40.03040373329562
52F0,decade2_minus_decade1,1985-1994,1995-2004,10667.8,5378.8,-5288.999999999999,-49.57910721985788
52F1,decade2_minus_decade1,1985-1994,1995-2004,11101.1,8939.4,-2161.7000000000007,-19.472845033375076
52F2,decade2_minus_decade1,1985-1994,1995-2004,950.1,973.1,23,2.4207978107567625
52F3,decade2_minus_decade1,1985-1994,1995-2004,212.3,56.7,-155.60000000000002,-73.29251059821009
52F4,decade2_minus_decade1,1985-1994,1995-2004,125.4,35.42857142857143,-89.97142857142858,-71.74755069491911
31F0,decade3_minus_decade2,1995-2004,2005-2015,4005.1,3612,-393.0999999999999,-9.81498589298644
31F1,decade3_minus_decade2,1995-2004,2005-2015,60692.2,26228.272727272728,-34463.92727272727,-56.784771803835206
31F2,decade3_minus_decade2,1995-2004,2005-2015,50153.4,39177.27272727273,-10976.127272727274,-21.885111024830366
31F3,decade3_minus_decade2,1995-2004,2005-2015,25318.1,21276.363636363636,-4041.7363636363625,-15.963821786138622
32F0,decade3_minus_decade2,1995-2004,2005-2015,5357.4,1197.5454545454545,-4159.854545454546,-77.6468911310439
32F1,decade3_minus_decade2,1995-2004,2005-2015,34846.6,26752.090909090908,-8094.50909090909,-23.228978123860266
32F2,decade3_minus_decade2,1995-2004,2005-2015,24631.4,30155.454545454544,5524.054545454543,22.426880102042684
32F3,decade3_minus_decade2,1995-2004,2005-2015,23336.7,37549,14212.3,60.90106998847309
32F4,decade3_minus_decade2,1995-2004,2005-2015,791.2222222222223,1164.909090909091,373.6868686868687,47.229066397722484
33F1,decade3_minus_decade2,1995-2004,2005-2015,7429.5,5771.909090909091,-1657.590909090909,-22.310934909360107
33F2,decade3_minus_decade2,1995-2004,2005-2015,31613.5,20846.18181818182,-10767.31818181818,-34.059241089465516
33F3,decade3_minus_decade2,1995-2004,2005-2015,48557.1,25954,-22603.1,-46.549526227884286
33F4,decade3_minus_decade2,1995-2004,2005-2015,27972.7,20674.363636363636,-7298.336363636365,-26.090925665510888
33F5,decade3_minus_decade2,1995-2004,2005-2015,53.25,8.5,-44.75,-84.03755868544602
34F0,decade3_minus_decade2,1995-2004,2005-2015,12332.6,8938.454545454546,-3394.1454545454544,-27.521734707567376
34F1,decade3_minus_decade2,1995-2004,2005-2015,1671.8,560.1818181818181,-1111.6181818181817,-66.4922946415948
34F2,decade3_minus_decade2,1995-2004,2005-2015,31478.5,22103.363636363636,-9375.136363636364,-29.782665513402364
34F3,decade3_minus_decade2,1995-2004,2005-2015,27106.2,18392.454545454544,-8713.745454545457,-32.14668767494321
34F4,decade3_minus_decade2,1995-2004,2005-2015,31881.2,26879.18181818182,-5002.018181818181,-15.68955428847779
34F5,decade3_minus_decade2,1995-2004,2005-2015,198.88888888888889,888.1111111111111,689.2222222222222,346.536312849162
35F0,decade3_minus_decade2,1995-2004,2005-2015,12888.5,7025.636363636364,-5862.863636363636,-45.48910762589624
35F1,decade3_minus_decade2,1995-2004,2005-2015,4913.3,2354.5454545454545,-2558.7545454545457,-52.078125607118345
35F2,decade3_minus_decade2,1995-2004,2005-2015,26027.7,12032.727272727272,-13994.972727272729,-53.76953294863829
35F3,decade3_minus_decade2,1995-2004,2005-2015,27881.5,14973.636363636364,-12907.863636363636,-46.295441910814105
35F4,decade3_minus_decade2,1995-2004,2005-2015,33064.6,26377.545454545456,-6687.054545454543,-20.224211227277944
35F5,decade3_minus_decade2,1995-2004,2005-2015,5370.5,36526.36363636364,31155.86363636364,580.129664581764
35F6,decade3_minus_decade2,1995-2004,2005-2015,539.9,6273.818181818182,5733.918181818182,1062.0333731835863
35F8,decade3_minus_decade2,1995-2004,2005-2015,10.2,650.6,640.4,6278.43137254902
36E9,decade3_minus_decade2,1995-2004,2005-2015,250.375,92.11111111111111,-158.26388888888889,-63.21073944638598
36F0,decade3_minus_decade2,1995-2004,2005-2015,6189.8,2879.2727272727275,-3310.5272727272727,-53.48359030545854
36F1,decade3_minus_decade2,1995-2004,2005-2015,10133.2,3280.5454545454545,-6852.654545454547,-67.62577019554087
36F2,decade3_minus_decade2,1995-2004,2005-2015,24672.1,12250.636363636364,-12421.463636363635,-50.34619524225192
36F3,decade3_minus_decade2,1995-2004,2005-2015,25801.9,15279.90909090909,-10521.990909090911,-40.77990732888241
36F4,decade3_minus_decade2,1995-2004,2005-2015,41175.3,21479.090909090908,-19696.209090909095,-47.8350105303643
36F5,decade3_minus_decade2,1995-2004,2005-2015,26709.9,19339.18181818182,-7370.718181818182,-27.595454051936475
36F6,decade3_minus_decade2,1995-2004,2005-2015,51615,50642.63636363636,-972.3636363636397,-1.8838780129102775
36F7,decade3_minus_decade2,1995-2004,2005-2015,59574.8,46270.63636363636,-13304.163636363643,-22.331864540650816
36F8,decade3_minus_decade2,1995-2004,2005-2015,58460.7,47458.36363636364,-11002.336363636357,-18.82005580438886
37E9,decade3_minus_decade2,1995-2004,2005-2015,29627.7,6590.545454545454,-23037.15454545455,-77.75546041526864
37F0,decade3_minus_decade2,1995-2004,2005-2015,34513.1,7245.090909090909,-27268.00909090909,-79.00770748182312
37F1,decade3_minus_decade2,1995-2004,2005-2015,39509.6,9533.818181818182,-29975.781818181815,-75.86961603808142
37F2,decade3_minus_decade2,1995-2004,2005-2015,48088.3,17456.454545454544,-30631.84545454546,-63.69916477510217
37F3,decade3_minus_decade2,1995-2004,2005-2015,19500.3,6023.363636363636,-13476.936363636363,-69.11143091971078
37F4,decade3_minus_decade2,1995-2004,2005-2015,36793.1,14057.272727272728,-22735.82727272727,-61.793725651622914
37F5,decade3_minus_decade2,1995-2004,2005-2015,28191.4,16051.818181818182,-12139.58181818182,-43.061294643692115
37F6,decade3_minus_decade2,1995-2004,2005-2015,35777.3,15173,-20604.300000000003,-57.590427449807564
37F7,decade3_minus_decade2,1995-2004,2005-2015,39305.4,21853.909090909092,-17451.49090909091,-44.39972855915704
