stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
43E7,decade3_minus_decade1,1985-1994,2005-2015,2301.8,131.6,-2170.2000000000003,-94.2827352506734,2170.2000000000003,1,stable
43E8,decade3_minus_decade1,1985-1994,2005-2015,19754.5,518.5454545454545,-19235.954545454544,-97.37505148424178,19235.954545454544,3,large_change
43E9,decade3_minus_decade1,1985-1994,2005-2015,6899.7,1057.8181818181818,-5841.881818181818,-84.66863513169874,5841.881818181818,2,moderate
43F0,decade3_minus_decade1,1985-1994,2005-2015,6485,424.45454545454544,-6060.545454545455,-93.4548258218266,6060.545454545455,2,moderate
43F1,decade3_minus_decade1,1985-1994,2005-2015,2761.8,369.6363636363636,-2392.1636363636367,-86.61610675514652,2392.1636363636367,1,stable
43F2,decade3_minus_decade1,1985-1994,2005-2015,2570.2,691.6363636363636,-1878.5636363636363,-73.09017338587022,1878.5636363636363,1,stable
43F3,decade3_minus_decade1,1985-1994,2005-2015,6752.5,1912.2727272727273,-4840.227272727273,-71.68052236545388,4840.227272727273,2,moderate
43F4,decade3_minus_decade1,1985-1994,2005-2015,17726.9,1677.7272727272727,-16049.17272727273,-90.53569844289034,16049.17272727273,3,large_change
43F5,decade3_minus_decade1,1985-1994,2005-2015,21711.6,3409.5454545454545,-18302.054545454543,-84.296203621357,18302.054545454543,3,large_change
43F6,decade3_minus_decade1,1985-1994,2005-2015,18963.1,8978.09090909091,-9985.009090909089,-52.654940863619814,9985.009090909089,2,moderate
43F7,decade3_minus_decade1,1985-1994,2005-2015,52647.3,28893.81818181818,-23753.481818181823,-45.118138666525766,23753.481818181823,3,large_change
44E6,decade3_minus_decade1,1985-1994,2005-2015,26435.3,13901.454545454546,-12533.845454545453,-47.413290012012176,12533.845454545453,3,large_change
44E7,decade3_minus_decade1,1985-1994,2005-2015,48175.4,8559,-39616.4,-82.23367112675764,39616.4,3,large_change
44E8,decade3_minus_decade1,1985-1994,2005-2015,34297,1544.4545454545453,-32752.545454545456,-95.496823204786,32752.545454545456,3,large_change
44E9,decade3_minus_decade1,1985-1994,2005-2015,15043.5,3591.818181818182,-11451.681818181818,-76.12378647377152,11451.681818181818,3,large_change
44F0,decade3_minus_decade1,1985-1994,2005-2015,22027,3538.2727272727275,-18488.727272727272,-83.9366562524505,18488.727272727272,3,large_change
44F1,decade3_minus_decade1,1985-1994,2005-2015,4923.6,547.5454545454545,-4376.054545454546,-88.87916454331274,4376.054545454546,2,moderate
44F2,decade3_minus_decade1,1985-1994,2005-2015,9616.5,766.8181818181818,-8849.681818181818,-92.02601589124752,8849.681818181818,2,moderate
44F3,decade3_minus_decade1,1985-1994,2005-2015,19223.3,3232.090909090909,-15991.209090909091,-83.18659694698148,15991.209090909091,3,large_change
44F4,decade3_minus_decade1,1985-1994,2005-2015,12586.4,3084.818181818182,-9501.581818181818,-75.49086170931973,9501.581818181818,2,moderate
44F5,decade3_minus_decade1,1985-1994,2005-2015,21698.7,11351.90909090909,-10346.79090909091,-47.68392073760599,10346.79090909091,3,large_change
44F6,decade3_minus_decade1,1985-1994,2005-2015,19917.6,13828.363636363636,-6089.2363636363625,-30.57213903098949,6089.2363636363625,2,moderate
45E6,decade3_minus_decade1,1985-1994,2005-2015,1961.6,631.0909090909091,-1330.509090909091,-67.82774729348955,1330.509090909091,1,stable
45E7,decade3_minus_decade1,1985-1994,2005-2015,8893,1654.909090909091,-7238.090909090909,-81.39087944552918,7238.090909090909,2,moderate
45E8,decade3_minus_decade1,1985-1994,2005-2015,30613.7,5045.909090909091,-25567.79090909091,-83.51748043879344,25567.79090909091,3,large_change
45E9,decade3_minus_decade1,1985-1994,2005-2015,18749.3,6852.181818181818,-11897.118181818181,-63.45366590655748,11897.118181818181,3,large_change
