stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
45E6,60,1.492659313454681,1095.1290322580646,0.005601292781840003,0.013365803869426953,FALSE
44F1,64,1.4971593127489111,2449.58064516129,0.005578187493633936,0.01204688466836436,FALSE
36F4,93,1.4163661694692604,28505.064516129034,0.005479683011856587,0.013293837789933476,FALSE
48E8,48,1.5067367179047209,5542.580645161291,0.005417300719338193,0.009547738590746015,FALSE
46E6,18,1.182099045228774,1769.2258064516125,0.005067549666592251,0.012692297332079017,FALSE
41F4,79,1.1350153684517357,7233.5161290322585,0.00492184330484555,0.008482967156870046,FALSE
39F3,68,1.0920892581227597,13628.096774193551,0.004773487552165924,0.006383433560691418,FALSE
50F1,56,1.490492721902613,4362.5161290322585,0.004724305578605288,0.01041709411645676,FALSE
51F0,53,1.1663958748373817,4653.225806451613,0.004474523711024033,0.010193291344543665,FALSE
47E7,59,1.4763466198973743,1287.6206896551726,0.004458110243311924,0.013170025455192505,FALSE
43F0,60,1.4803752481077994,3049.58064516129,0.004386740186371704,0.011506332769925093,FALSE
51E8,39,1.1369456506001234,8331.677419354837,0.0043398940571221034,0.007905621573028185,FALSE
44F3,65,1.1319464105909363,9339,0.004191510858773059,0.007455083681386727,FALSE
50E8,33,1.1488259822943305,7463.5161290322585,0.004117868607208137,0.008354604950018898,FALSE
49E8,39,1.469371882131842,1868.6451612903227,0.003938361444892449,0.012595831339463332,FALSE
44E8,64,1.490818723224381,14197.516129032263,0.0038876465094103475,0.006344275866095098,FALSE
45E7,58,1.4746583815482541,4401.935483870967,0.003844804670671766,0.010386377930476422,FALSE
38F4,78,1.4838042891584327,14545.032258064517,0.0036367300364311466,0.006332254685695154,FALSE
37F1,70,1.3598085702805316,32300.032258064515,0.003626506154254115,0.01769768683374119,FALSE
36F3,92,1.4602471548356852,19164.032258064515,0.0035766878372692486,0.007027508391887507,FALSE
47E9,63,1.4767346260042864,8197.096774193551,0.0034547631394763216,0.007971542378713071,FALSE
41E8,72,1.1881095154707697,4747.806451612904,0.003308439797722622,0.010121836688841718,FALSE
36F5,104,1.4301724889486362,22188.516129032258,0.0032539448403709256,0.008344394436122846,FALSE
38F6,99,1.4439123553443622,20343.09677419355,0.003246640209829553,0.007459784102206672,FALSE
33F3,82,1.1527945944914881,36314.87096774193,0.003144995750262569,0.02352535248348259,FALSE
41F6,63,1.1361788685628462,23953.064516129034,0.003049197058485893,0.009427660309135123,FALSE
42F1,59,1.4509423366976342,1583.548387096774,0.0029630687383549216,0.012874432030888054,FALSE
44E7,65,1.4063554437749617,24286.064516129034,0.002928434964866006,0.009658124723122252,FALSE
42F4,75,1.1878266405369036,6529.806451612904,0.0027124712810949383,0.00890019507801644,FALSE
33F4,78,1.141321805482669,21881.064516129034,0.002659076398620372,0.008179391976472923,FALSE
35F3,75,1.1438589692116825,22357.548387096773,0.002594245671049202,0.008438112230524712,FALSE
34F4,89,1.1515404475777613,26207,0.0025757241185591696,0.011148951356428575,FALSE
43F4,67,1.173420768931709,9097.032258064517,0.002557063585619672,0.007556404394421107,FALSE
